index,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Poverty,BOROCT2010,location,Provider,ct2010,borough,number of public wifi
36005001900,2591.0,1206.0,1385.0,0.5504,0.09,0.29,0.0,0.020099999999999996,0.3701,2001900.0,['141 LINCOLN AVENUE'],['LinkNYC - Citybridge'],19,['Bronx'],1
36005002000,8516.0,3301.0,5215.0,0.6101,0.0106,0.31010000000000004,0.0003,0.030299999999999997,0.5302,2002000.0,['660 SOUNDVIEW AVENUE'],['NYPL'],20,['Bronx'],1
36005002300,4774.0,2130.0,2644.0,0.6203,0.0002,0.3605,0.01,0.0,0.5402,2002300.0,['3 Avenue - 138 St [6]'],['Transit Wireless'],23,['Bronx'],1
36005002500,5355.0,2338.0,3017.0,0.7605,0.0105,0.1809,0.0,0.03,0.5005,2002500.0,['216 WILLIS AVENUE'],['LinkNYC - Citybridge'],25,['Bronx'],4
36005002702,4778.0,2427.0,2351.0,0.7103,0.0106,0.2602,0.0,0.0,0.5207,2002702.0,['710 EAST 138 STREET'],['LinkNYC - Citybridge'],2702,['Bronx'],4
36005003100,1466.0,769.0,697.0,0.7203,0.0006,0.24059999999999998,0.0,0.0202,0.1801,2003100.0,"[""East 143 St-St Mary's St (6)""]",['Transit Wireless'],31,['Bronx'],1
36005003500,3948.0,1921.0,2027.0,0.7304999999999999,0.0007000000000000001,0.2509,0.0,0.0,0.3603,2003500.0,['718 EAST 149 STREET'],['LinkNYC - Citybridge'],35,['Bronx'],1
36005003700,246.0,128.0,118.0,0.5707,0.2404,0.1709,0.0,0.0,0.4305,2003700.0,['MULTIPURPOSE RM DROP CEILING-2ND FL'],['ALTICEUSA'],37,['Bronx'],7
36005003900,6614.0,3520.0,3094.0,0.82,0.0109,0.16010000000000002,0.0,0.0,0.3002,2003900.0,['296 WILLIS AVENUE'],['LinkNYC - Citybridge'],39,['Bronx'],7
36005004100,6476.0,3125.0,3351.0,0.7508,0.0005,0.2304,0.0,0.0002,0.5303,2004100.0,['374 WILLIS AVENUE'],['LinkNYC - Citybridge'],41,['Bronx'],1
36005004300,6057.0,3094.0,2963.0,0.7401000000000001,0.0004,0.2304,0.0,0.0,0.4606,2004300.0,['460 WILLIS AVENUE'],['LinkNYC - Citybridge'],43,['Bronx'],6
36005005100,5653.0,2256.0,3397.0,0.6907,0.0001,0.2801,0.020099999999999996,0.0,0.4904,2005100.0,['289 MORRIS AVENUE'],['LinkNYC - Citybridge'],51,['Bronx'],8
36005006200,7610.0,3790.0,3820.0,0.6906,0.0,0.3002,0.0,0.0002,0.3407,2006200.0,['1215 MORRISON AVENUE'],['NYPL'],62,['Bronx'],1
36005006300,4431.0,2394.0,2037.0,0.6901,0.030699999999999998,0.2006,0.0008,0.05,0.2707,2006300.0,['PARKING STRUCTURE 3FLR NORTH FACING ON OUTSIDE ( FIRST RADIO IN FROM RIVER ST)'],['ALTICEUSA'],63,['Bronx'],23
36005006500,5487.0,2557.0,2930.0,0.6004999999999999,0.0408,0.3207,0.0,0.0104,0.44020000000000004,2006500.0,['610 MELROSE AVE'],['LinkNYC - Citybridge'],65,['Bronx'],6
36005006700,7421.0,3353.0,4068.0,0.6603,0.0108,0.2904,0.0005,0.0,0.47009999999999996,2006700.0,['624 MELROSE AVE'],['LinkNYC - Citybridge'],67,['Bronx'],7
36005006900,8554.0,3740.0,4814.0,0.5808,0.020499999999999997,0.3601,0.0,0.0103,0.44,2006900.0,['776 MELROSE AVE'],['LinkNYC - Citybridge'],69,['Bronx'],3
36005007100,2547.0,1080.0,1467.0,0.6007,0.0101,0.3604,0.0,0.0009,0.2808,2007100.0,['844 ST ANNS AVENUE'],['LinkNYC - Citybridge'],71,['Bronx'],8
36005007300,3761.0,1866.0,1895.0,0.63,0.02,0.3309,0.0001,0.0,0.5007,2007300.0,['660 WESTCHESTER AVENUE'],['LinkNYC - Citybridge'],73,['Bronx'],1
36005007500,5599.0,2072.0,3527.0,0.5808,0.0108,0.38049999999999995,0.0009,0.0,0.3107,2007500.0,['613 WESTCHESTER AVENUE'],['LinkNYC - Citybridge'],75,['Bronx'],1
36005007700,1933.0,879.0,1054.0,0.7008,0.020499999999999997,0.26030000000000003,0.0004,0.0,0.37079999999999996,2007700.0,['761 EAST 160 STREET'],['NYPL'],77,['Bronx'],1
36005008300,6882.0,3348.0,3534.0,0.7901,0.0004,0.1506,0.0,0.04019999999999999,0.41090000000000004,2008300.0,['East 149 St (6)'],['Transit Wireless'],83,['Bronx'],1
36005008500,5959.0,3196.0,2763.0,0.7704000000000001,0.01,0.1905,0.0,0.01,0.39030000000000004,2008500.0,['SPAN BTWH 725 & 737 SOUTHERN BL'],['ALTICEUSA'],85,['Bronx'],2
36005008900,3438.0,1661.0,1777.0,0.7909,0.0106,0.1606,0.0005,0.0104,0.32049999999999995,2008900.0,['877 SOUTHERN BOULEVARD'],['NYPL'],89,['Bronx'],1
36005009000,3476.0,1681.0,1795.0,0.6605,0.030299999999999997,0.24059999999999998,0.0,0.0407,0.3607,2009000.0,['ON SCHLEY AVENUE 2/P/E O BRUSH'],['ALTICEUSA'],90,['Bronx'],2
36005009800,5041.0,2165.0,2876.0,0.7001000000000001,0.0208,0.2109,0.0,0.0209,0.2303,2009800.0,['947 CASTLE HILL AVENUE'],['NYPL'],98,['Bronx'],1
36005011000,153.0,79.0,74.0,1.0,0.0,0.0,0.0,0.0,0.2009,2011000.0,['BALCOM AV 1/P/E/O SAMPSON AV'],['ALTICEUSA'],110,['Bronx'],8
36005011700,1603.0,787.0,816.0,0.7201000000000001,0.020099999999999996,0.2509,0.0,0.0,0.33039999999999997,2011700.0,['Near Performance Stage'],['AT&T'],117,['Bronx'],1
36005011900,5603.0,2678.0,2925.0,0.6808,0.0003,0.2801,0.0004,0.0,0.39030000000000004,2011900.0,['Hunts Point Avenue (6)'],['Transit Wireless'],119,['Bronx'],1
36005013100,4685.0,2261.0,2424.0,0.7104,0.0008,0.2403,0.0,0.0108,0.3505,2013100.0,['HORSESHOE PLAYGROUND-HALL PL 2/P/N/O E 165TH ST EAST SIDE'],['ALTICEUSA'],131,['Bronx'],1
36005014100,5355.0,2435.0,2920.0,0.6102000000000001,0.0008,0.3602,0.0,0.0009,0.2602,2014100.0,['574 EAST 163 STREET'],['LinkNYC - Citybridge'],141,['Bronx'],3
36005014900,4348.0,2140.0,2208.0,0.5901,0.0203,0.3502,0.0,0.0002,0.4805,2014900.0,['610 EAST 169 STREET'],['NYPL'],149,['Bronx'],1
36005015100,5458.0,2625.0,2833.0,0.5609000000000001,0.0103,0.4004,0.0,0.0,0.2802,2015100.0,['Crotona Park-CROTONA PARK SOUTH 1/P/E/O CROTONA AV'],['ALTICEUSA'],151,['Bronx'],2
36005015800,1202.0,529.0,673.0,0.49060000000000004,0.3607,0.0603,0.0,0.03,0.1105,2015800.0,['3025 CROSS BRONX EXPRESSWAY'],['NYPL'],158,['Bronx'],1
36005016700,2733.0,1228.0,1505.0,0.45020000000000004,0.0102,0.5207,0.0,0.0,0.43079999999999996,2016700.0,['CROTONA PARK C/O EAST 173RD ST AND FULTON AVE'],['ALTICEUSA'],167,['Bronx'],1
36005017300,6301.0,3055.0,3246.0,0.6102000000000001,0.01,0.2609,0.030299999999999997,0.0605,0.3607,2017300.0,['271 EAST 161 STREET'],['LinkNYC - Citybridge'],173,['Bronx'],2
36005017902,3600.0,1717.0,1883.0,0.5706,0.0006,0.3809,0.0,0.0,0.4103,2017902.0,['247 EAST 169 STREET'],['LinkNYC - Citybridge'],17902,['Bronx'],1
36005019500,7622.0,3232.0,4390.0,0.7302,0.0007000000000000001,0.23079999999999998,0.0,0.0102,0.3404,2019500.0,['North Playground'],['AT&T'],195,['Bronx'],11
36005019700,7104.0,3334.0,3770.0,0.6303,0.0101,0.2602,0.0,0.0601,0.3507,2019700.0,['84 EAST 167 STREET'],['LinkNYC - Citybridge'],197,['Bronx'],3
36005019900,8015.0,3723.0,4292.0,0.6706,0.02,0.2901,0.0,0.0,0.3801,2019900.0,['78 WEST 168 STREET'],['NYPL'],199,['Bronx'],1
36005020000,4722.0,2312.0,2410.0,0.5506,0.0406,0.030899999999999997,0.0,0.3107,0.2704,2020000.0,['BA ON WEST SIDE OF BLDG'],['ALTICEUSA'],200,['Bronx'],4
