CensusTract;County;Borough;TotalPop;Men;Women;Hispanic;White;Black;Native;Asian;Citizen;Income;IncomeErr;IncomePerCap;IncomePerCapErr;Poverty;ChildPoverty;Professional;Service;Office;Construction;Production;Drive;Carpool;Transit;Walk;OtherTransp;WorkAtHome;MeanCommute;Employed;PrivateWork;PublicWork;SelfEmployed;FamilyWork;Unemployment
36005000100;Bronx;Bronx;7703;7133;570;29.09.00;06.01;60.09.00;00.02;01.06;6476;;;2440.00.00;373.00.00;;;;;;;;;;;;;;;0;;;;;
36005000200;Bronx;Bronx;5403;2659;2744;75.08.00;02.03;16.00;00.00;04.02;3639;72034.0;13991.0;22180.0;2206.00.00;20.00;20.07;28.07.00;17.01;23.09;08.00;22.03;44.08.00;13.07;38.06.00;02.09;00.00;00.00;43.00.00;2308;80.08.00;16.02;02.09;00.00;07.07
36005000400;Bronx;Bronx;5915;2896;3019;62.07.00;03.06;30.07.00;00.00;00.03;4100;74836.0;8407.00.00;27700.0;2449.00.00;13.02;23.06;32.02.00;23.04;24.09.00;09.00;10.05;41.03.00;10.00;44.06.00;01.04;00.05;02.01;45.00.00;2675;71.07.00;25.03.00;02.05;00.06;09.05
36005001600;Bronx;Bronx;5879;2558;3321;65.01.00;01.06;32.04.00;00.00;00.00;3536;32312.0;6859.00.00;17526.0;2945.00.00;26.03.00;35.09.00;19.01;36.01.00;26.02.00;04.09;13.08;37.02.00;05.03;45.05.00;08.06;01.06;01.07;38.08.00;2120;75.00.00;21.03;03.08;00.00;08.07
36005001900;Bronx;Bronx;2591;1206;1385;55.04.00;09.00;29.00.00;00.00;02.01;1557;37936.0;3771.00.00;17986.0;2692.00.00;37.01.00;31.05.00;35.04.00;20.09;26.02.00;06.06;11.00;19.02;05.03;63.09.00;03.00;02.04;06.02;45.04.00;1083;76.08.00;15.05;07.07;00.00;19.02
36005002000;Bronx;Bronx;8516;3301;5215;61.01.00;01.06;31.01.00;00.03;03.03;5436;18086.0;3694.00.00;12023.0;2346.00.00;53.02.00;67.07.00;14.05;41.01.00;16.07;07.01;20.06;19.06;07.00;68.02.00;04.03;01.00;00.00;46.00.00;2508;71.00.00;21.03;07.07;00.00;17.02
36005002300;Bronx;Bronx;4774;2130;2644;62.03.00;00.02;36.05.00;01.00;00.00;3056;14479.0;1901.00.00;9781.00.00;1460.00.00;54.02.00;68.03.00;20.08;36.00.00;33.07.00;03.04;06.01;05.09;00.00;74.05.00;14.00;01.05;04.01;42.07.00;1191;74.02.00;16.01;09.07;00.00;18.09
36005002400;Bronx;Bronx;150;109;41;00.00;52.00.00;48.00.00;00.00;00.00;41;;;49365.0;2072.00.00;00.00;00.00;63.07.00;36.03.00;00.00;00.00;00.00;00.00;00.00;100.00.00;00.00;00.00;00.00;;113;62.08.00;37.02.00;00.00;00.00;00.00
36005002500;Bronx;Bronx;5355;2338;3017;76.05.00;01.05;18.09;00.00;03.00;2509;17226.0;6097.00.00;11493.0;1714.00.00;50.05.00;62.04.00;15.09;36.06.00;24.02.00;08.06;14.07;12.06;02.08;62.05.00;17.07;01.08;02.07;35.05.00;1691;85.01.00;08.03;06.01;00.05;09.04
36005002701;Bronx;Bronx;3016;1375;1641;68.00.00;00.00;31.02.00;00.00;00.00;1456;20153.0;5229.00.00;10317.0;1573.00.00;52.06.00;64.09.00;19.09;35.09.00;25.08.00;04.09;13.05;14.00;01.07;64.07.00;18.00;00.00;01.06;42.08.00;1102;86.09.00;08.05;04.05;00.00;15.02
36005002702;Bronx;Bronx;4778;2427;2351;71.03.00;01.06;26.02.00;00.00;00.00;2365;17147.0;7165.00.00;8911.00.00;1450.00.00;52.07.00;63.01.00;15.02;46.04.00;25.00.00;01.07;11.06;05.01;03.00;83.06.00;07.01;00.07;00.05;44.00.00;1559;75.00.00;14.00;11.00;00.00;10.06
36005002800;Bronx;Bronx;5299;2292;3007;23.00;00.02;71.04.00;00.00;01.07;4056;49529.0;5441.00.00;26652.0;3069.00.00;08.05;06.05;36.06.00;24.04.00;26.06.00;04.09;07.04;42.08.00;03.07;48.02.00;02.00;00.06;02.07;47.03.00;2394;61.09.00;37.04.00;00.06;00.00;12.08
